     Idade  TempoEstudo  Faltas  Prova1  Prova2  Prova3   Situacao
0       18            2       4       0      11      11  Reprovado
1       17            2       2       9      11      11  Reprovado
2       15            2       6      12      13      12  Reprovado
3       15            3       0      14      14      14  Reprovado
4       16            2       0      11      13      13  Reprovado
5       16            2       6      12      12      13  Reprovado
6       16            2       0      13      12      13  Reprovado
7       17            2       2      10      13      13  Reprovado
8       15            2       0      15      16      17  Reprovado
9       15            2       0      12      12      13  Reprovado
10      15            2       2      14      14      14  Reprovado
11      15            3       0      10      12      13  Reprovado
12      15            1       0      12      13      12  Reprovado
13      15            2       0      12      12      13  Reprovado
14      15            3       0      14      14      15  Reprovado
15      16            1       6      17      17      17  Reprovado
16      16            3      10      13      13      14  Reprovado
17      16            2       2      13      14      14  Reprovado
18      17            1       2       8       8       7  Reprovado
19      16            1       6      12      12      12  Reprovado
20      15            2       0      12      13      14  Reprovado
21      15            1       0      11      12      12  Reprovado
22      16            2       0      12      13      14  Reprovado
23      16            2       2      10      10      10  Reprovado
24      15            3       2      10      11      10  Reprovado
25      16            1       6      10      11      12  Reprovado
26      15            1       8      11      12      12  Reprovado
27      15            1       0      11      11      11  Reprovado
28      16            2       2      12      12      13  Reprovado
29      16            2       4      12      11      12  Reprovado
30      15            2       0      10      11      11  Reprovado
31      15            2       2      15      15      15  Reprovado
32      15            2       0      13      14      15  Reprovado
33      15            2       0      13      12      12  Reprovado
34      16            1       4      12      12      12  Reprovado
35      15            1       4      11      11      11  Reprovado
36      15            3       0      14      14      14  Reprovado
37      16            3       4      13      13      13  Reprovado
38      15            3       2      11      12      12  Reprovado
39      15            1       8      14      13      12  Reprovado
40      16            2      16      11      11      10  Reprovado
41      15            1       8      10      11      11  Reprovado
42      15            2       0      14      15      15  Reprovado
43      15            1       0       9      10      10  Reprovado
44      16            2      14      10      11      11  Reprovado
45      15            2       4      10      11      11  Reprovado
46      16            2       6      13      12      13  Reprovado
47      16            4       2      17      17      17   Aprovado
48      15            2       4      11      12      13  Reprovado
49      15            2       2      13      12      12  Reprovado
50      16            2       0      14      13      13  Reprovado
51      15            2       0      16      14      16  Reprovado
52      15            1       4      10       9       9  Reprovado
53      15            1       0      13      12      12  Reprovado
54      15            1       0      13      12      13  Reprovado
55      16            2       2      12      13      12  Reprovado
56      15            2       0      15      14      15  Reprovado
57      15            2       8      15      15      16  Reprovado
58      15            2       0      14      13      14  Reprovado
